"b0","b1","SSR"
-9.7,-1.96,5863.52408420951
-9.6,-1.96,5795.32285451532
-9.5,-1.96,5727.52162482112
-9.4,-1.96,5660.12039512692
-9.3,-1.96,5593.11916543273
-9.2,-1.96,5526.51793573853
-9.1,-1.96,5460.31670604433
-9,-1.96,5394.51547635014
-8.9,-1.96,5329.11424665594
-8.8,-1.96,5264.11301696175
-8.7,-1.96,5199.51178726755
-8.6,-1.96,5135.31055757335
-8.5,-1.96,5071.50932787916
-8.4,-1.96,5008.10809818496
-8.3,-1.96,4945.10686849077
-8.2,-1.96,4882.50563879657
-8.1,-1.96,4820.30440910237
-8,-1.96,4758.50317940818
-7.9,-1.96,4697.10194971398
-7.8,-1.96,4636.10072001978
-7.7,-1.96,4575.49949032559
-7.6,-1.96,4515.29826063139
-7.5,-1.96,4455.49703093719
-7.4,-1.96,4396.095801243
