"b0","b1","logL"
0.95,-0.99,-13.7226661090543
0.96,-0.99,-13.7486521635132
0.97,-0.99,-13.7749957568805
0.98,-0.99,-13.8016969277175
0.99,-0.99,-13.8287557079828
1,-0.99,-13.8561721230909
-1,-0.98,-14.9048492604376
-0.99,-0.98,-14.8716737229609
-0.98,-0.98,-14.8387081057237
-0.97,-0.98,-14.8059536179387
-0.96,-0.98,-14.7734114695922
-0.95,-0.98,-14.7410828713569
-0.94,-0.98,-14.7089690345025
-0.93,-0.98,-14.6770711708072
-0.92,-0.98,-14.6453904924668
-0.91,-0.98,-14.613928212005
-0.9,-0.98,-14.5826855421816
-0.89,-0.98,-14.5516636959004
-0.88,-0.98,-14.5208638861174
-0.87,-0.98,-14.4902873257473
-0.86,-0.98,-14.4599352275696
-0.85,-0.98,-14.429808804135
-0.84,-0.98,-14.3999092676702
-0.83,-0.98,-14.3702378299832
-0.82,-0.98,-14.3407957023667
-0.81,-0.98,-14.3115840955029
-0.8,-0.98,-14.2826042193664
-0.79,-0.98,-14.2538572831268
-0.78,-0.98,-14.225344495052
-0.77,-0.98,-14.1970670624098
-0.76,-0.98,-14.1690261913696
-0.75,-0.98,-14.1412230869044
-0.74,-0.98,-14.1136589526913
-0.73,-0.98,-14.0863349910126
-0.72,-0.98,-14.0592524026564
-0.71,-0.98,-14.0324123868168
-0.7,-0.98,-14.0058161409938
-0.69,-0.98,-13.9794648608936
-0.68,-0.98,-13.9533597403278
-0.67,-0.98,-13.9275019711131
-0.66,-0.98,-13.9018927429707
-0.65,-0.98,-13.8765332434258
-0.64,-0.98,-13.8514246577062
-0.63,-0.98,-13.826568168642
-0.62,-0.98,-13.8019649565645
-0.61,-0.98,-13.7776161992051
-0.6,-0.98,-13.7535230715948
-0.59,-0.98,-13.729686745963
-0.58,-0.98,-13.7061083916368
-0.57,-0.98,-13.6827891749404
-0.56,-0.98,-13.6597302590944
-0.55,-0.98,-13.6369328041156
-0.54,-0.98,-13.6143979667163
-0.53,-0.98,-13.5921269002049
-0.52,-0.98,-13.5701207543852
-0.51,-0.98,-13.5483806754576
-0.5,-0.98,-13.5269078059195
-0.49,-0.98,-13.505703284466
-0.48,-0.98,-13.4847682458915
-0.47,-0.98,-13.4641038209917
-0.46,-0.98,-13.4437111364647
-0.45,-0.98,-13.4235913148144
-0.44,-0.98,-13.403745474253
-0.43,-0.98,-13.3841747286043
-0.42,-0.98,-13.3648801872074
-0.41,-0.98,-13.3458629548215
-0.4,-0.98,-13.3271241315304
-0.39,-0.98,-13.3086648126479
-0.38,-0.98,-13.2904860886242
-0.37,-0.98,-13.272589044952
-0.36,-0.98,-13.2549747620743
-0.35,-0.98,-13.2376443152921
-0.34,-0.98,-13.2205987746727
-0.33,-0.98,-13.2038392049598
-0.32,-0.98,-13.1873666654827
-0.31,-0.98,-13.171182210068
-0.3,-0.98,-13.1552868869503
-0.29,-0.98,-13.1396817386856
-0.28,-0.98,-13.1243678020637
-0.27,-0.98,-13.1093461080228
-0.26,-0.98,-13.0946176815645
-0.25,-0.98,-13.0801835416694
-0.24,-0.98,-13.0660447012142
-0.23,-0.98,-13.0522021668894
-0.22,-0.98,-13.0386569391179
-0.21,-0.98,-13.0254100119749
-0.2,-0.98,-13.0124623731086
-0.19,-0.98,-12.9998150036619
-0.18,-0.98,-12.9874688781951
-0.17,-0.98,-12.9754249646103
-0.16,-0.98,-12.9636842240756
-0.15,-0.98,-12.952247610952
-0.14,-0.98,-12.9411160727199
-0.13,-0.98,-12.9302905499081
-0.12,-0.98,-12.9197719760229
-0.11,-0.98,-12.9095612774789
-0.1,-0.98,-12.899659373531
-0.09,-0.98,-12.8900671762077
-0.08,-0.98,-12.8807855902451
-0.07,-0.98,-12.8718155130227
-0.0599999999999999,-0.98,-12.8631578345004
-0.0499999999999999,-0.98,-12.8548134371564
-0.04,-0.98,-12.8467831959268
-0.03,-0.98,-12.8390679781466
-0.02,-0.98,-12.8316686434913
-0.01,-0.98,-12.8245860439207
0,-0.98,-12.8178210236233
0.01,-0.98,-12.8113744189629
0.02,-0.98,-12.8052470584258
0.03,-0.98,-12.7994397625695
0.04,-0.98,-12.7939533439735
0.05,-0.98,-12.7887886071901
0.0600000000000001,-0.98,-12.7839463486986
0.0700000000000001,-0.98,-12.7794273568587
0.0800000000000001,-0.98,-12.7752324118672
0.0900000000000001,-0.98,-12.7713622857147
0.1,-0.98,-12.767817742145
0.11,-0.98,-12.764599536615
0.12,-0.98,-12.7617084162563
0.13,-0.98,-12.7591451198386
0.14,-0.98,-12.7569103777342
0.15,-0.98,-12.755004911884
0.16,-0.98,-12.7534294357652
0.17,-0.98,-12.7521846543603
0.18,-0.98,-12.7512712641273
0.19,-0.98,-12.7506899529722
0.2,-0.98,-12.7504414002222
0.21,-0.98,-12.7505262766004
0.22,-0.98,-12.7509452442028
0.23,-0.98,-12.7516989564758
0.24,-0.98,-12.7527880581957
0.25,-0.98,-12.7542131854495
0.26,-0.98,-12.7559749656176
0.27,-0.98,-12.7580740173573
0.28,-0.98,-12.7605109505882
0.29,-0.98,-12.7632863664792
0.3,-0.98,-12.7664008574364
0.31,-0.98,-12.7698550070931
0.32,-0.98,-12.7736493903012
0.33,-0.98,-12.7777845731233
0.34,-0.98,-12.7822611128272
0.35,-0.98,-12.7870795578814
0.36,-0.98,-12.7922404479521
0.37,-0.98,-12.7977443139013
0.38,-0.98,-12.8035916777872
0.39,-0.98,-12.809783052865
0.4,-0.98,-12.8163189435899
0.41,-0.98,-12.8231998456209
0.42,-0.98,-12.8304262458264
0.43,-0.98,-12.837998622291
0.44,-0.98,-12.8459174443237
0.45,-0.98,-12.8541831724674
0.46,-0.98,-12.8627962585101
0.47,-0.98,-12.8717571454967
0.48,-0.98,-12.881066267743
0.49,-0.98,-12.8907240508502
0.5,-0.98,-12.9007309117215
0.51,-0.98,-12.9110872585792
